FERIADO,DOMINGO,SABADO,DIA_UTIL,PRECIPITACAO,TEMPERATURA,HORA,c#ACIMA_MEDIA_FREQUENCIA
0,0,0,1,0.0,17.3,15,1
0,0,0,1,0.0,17.8,16,1
0,0,0,1,0.0,18.3,17,1
0,0,0,1,0.0,18.4,18,1
0,0,0,1,0.0,17.8,19,1
0,0,0,1,0.0,15.8,20,1
0,0,0,1,0.0,12.6,21,1
0,0,0,1,0.0,10.0,22,1
0,0,0,1,0.0,9.0,23,0
0,0,1,0,0.0,8.8,00,0
0,0,1,0,0.0,9.9,01,0
0,0,1,0,0.0,9.4,02,0
0,0,1,0,0.0,8.2,04,0
0,0,1,0,0.0,7.4,05,0
0,0,1,0,0.0,7.1,06,0
0,0,1,0,0.0,6.7,07,0
0,0,1,0,0.0,6.5,08,0
0,0,1,0,0.0,6.5,09,0
0,0,1,0,0.0,8.3,10,0
0,0,1,0,0.0,10.5,11,0
0,0,1,0,0.0,13.1,12,1
0,0,1,0,0.0,14.7,13,0
0,0,1,0,0.0,16.6,14,0
0,0,1,0,0.0,18.7,15,0
0,0,1,0,0.0,19.3,16,0
0,0,1,0,0.0,19.4,17,1
0,0,1,0,0.0,19.5,18,0
0,0,1,0,0.0,18.7,19,1
0,0,1,0,0.0,16.8,20,1
0,0,1,0,0.0,13.8,21,0
0,0,1,0,0.0,11.7,22,0
0,0,1,0,0.0,10.7,23,0
0,1,0,0,0.0,10.0,00,0
0,1,0,0,0.0,10.2,01,0
0,1,0,0,0.0,10.2,02,0
0,1,0,0,0.0,9.5,04,0
0,1,0,0,0.0,9.0,05,0
0,1,0,0,0.0,8.5,06,0
0,1,0,0,0.0,8.2,07,0
0,1,0,0,0.0,7.4,08,0
0,1,0,0,0.0,6.4,09,0
0,1,0,0,0.0,8.4,10,0
0,1,0,0,0.0,11.2,11,0
0,1,0,0,0.0,13.9,12,0
0,1,0,0,0.0,16.1,13,1
0,1,0,0,0.0,17.5,14,0
0,1,0,0,0.0,19.6,15,0
0,1,0,0,0.0,19.9,16,0
0,1,0,0,0.0,20.4,17,0
0,1,0,0,0.0,20.2,18,0
0,1,0,0,0.0,19.6,19,0
0,1,0,0,0.0,18.0,20,0
0,1,0,0,0.0,14.6,21,0
0,1,0,0,0.0,12.7,22,0
0,1,0,0,0.0,11.9,23,0
0,0,0,1,0.0,11.3,00,0
0,0,0,1,0.0,10.5,01,0
0,0,0,1,0.0,10.3,02,0
0,0,0,1,0.0,9.9,04,0
0,0,0,1,0.0,9.3,05,0
0,0,0,1,0.0,8.2,06,0
0,0,0,1,0.0,7.7,07,1
0,0,0,1,0.0,7.5,08,0
0,0,0,1,0.0,7.5,09,0
0,0,0,1,0.0,10.1,10,0
0,0,0,1,0.0,12.2,11,1
0,0,0,1,0.0,13.6,12,1
0,0,0,1,0.0,15.6,13,1
0,0,0,1,0.0,17.3,14,1
0,0,0,1,0.0,19.8,15,1
0,0,0,1,0.0,20.1,16,1
0,0,0,1,0.0,20.6,17,1
0,0,0,1,0.0,20.3,18,1
0,0,0,1,0.0,19.7,19,1
0,0,0,1,0.0,18.6,20,1
0,0,0,1,0.0,15.3,21,0
0,0,0,1,0.0,13.1,22,0
0,0,0,1,0.0,11.8,23,0
0,0,0,1,0.0,11.1,00,0
0,0,0,1,0.0,10.6,01,0
0,0,0,1,0.0,10.7,02,0
0,0,0,1,0.0,9.5,04,0
0,0,0,1,0.0,9.4,05,0
0,0,0,1,0.0,9.3,06,0
0,0,0,1,0.0,9.1,07,0
0,0,0,1,0.0,9.1,08,1
0,0,0,1,0.0,9.1,09,0
0,0,0,1,0.0,11.0,10,0
0,0,0,1,0.0,13.3,11,1
0,0,0,1,0.0,15.1,12,1
0,0,0,1,0.0,16.8,13,1
0,0,0,1,0.0,18.0,14,1
0,0,0,1,0.0,19.6,15,1
0,0,0,1,0.0,20.3,16,1
0,0,0,1,0.0,20.5,17,1
0,0,0,1,0.0,20.3,18,1
0,0,0,1,0.0,19.1,19,1
0,0,0,1,0.0,18.0,20,0
0,0,0,1,0.0,15.5,21,1
0,0,0,1,0.0,13.3,22,1
0,0,0,1,0.0,11.8,23,0
0,0,0,1,0.0,11.4,00,0
0,0,0,1,0.0,11.3,01,0
0,0,0,1,0.0,11.3,02,0
0,0,0,1,0.0,9.9,04,0
0,0,0,1,0.0,9.3,05,0
0,0,0,1,0.0,9.2,06,0
0,0,0,1,0.0,9.3,07,0
0,0,0,1,0.0,9.9,08,1
0,0,0,1,0.0,9.9,09,1
0,0,0,1,0.0,11.6,10,1
0,0,0,1,0.0,13.3,11,1
0,0,0,1,0.0,14.9,12,1
0,0,0,1,0.1,15.7,13,1
0,0,0,1,0.1,16.1,14,1
0,0,0,1,0.1,17.7,15,1
0,0,0,1,0.0,18.5,16,1
0,0,0,1,0.0,18.3,17,1
0,0,0,1,0.0,18.5,18,1
0,0,0,1,0.0,17.9,19,1
0,0,0,1,0.0,17.2,20,0
0,0,0,1,0.0,15.4,21,1
0,0,0,1,0.0,13.8,22,1
0,0,0,1,0.0,13.0,23,0
0,0,0,1,0.0,12.8,00,0
0,0,0,1,0.0,13.0,01,0
0,0,0,1,0.0,13.0,02,0
0,0,0,1,0.0,12.2,04,0
0,0,0,1,0.0,12.4,05,0
0,0,0,1,0.0,11.8,06,0
0,0,0,1,0.0,11.8,07,0
0,0,0,1,0.0,12.0,08,0
0,0,0,1,0.0,12.2,09,0
0,0,0,1,0.0,13.1,10,1
0,0,0,1,0.0,14.3,11,1
0,0,0,1,0.0,16.4,12,1
0,0,0,1,0.0,17.4,13,1
0,0,0,1,0.0,18.8,14,1
0,0,0,1,0.0,20.4,15,1
0,0,0,1,0.0,20.6,16,1
0,0,0,1,0.0,20.8,17,1
0,0,0,1,0.0,20.8,18,1
0,0,0,1,0.0,19.8,19,1
0,0,0,1,0.0,18.4,20,1
0,0,0,1,0.0,16.2,21,0
0,0,0,1,0.0,14.2,22,1
0,0,0,1,0.0,12.8,23,0
0,0,0,1,0.0,12.4,00,0
0,0,0,1,0.0,12.4,01,0
0,0,0,1,0.0,11.3,02,0
0,0,0,1,0.0,10.3,04,0
0,0,0,1,0.0,10.4,05,0
0,0,0,1,0.0,10.2,06,0
0,0,0,1,0.0,10.0,07,0
0,0,0,1,0.0,10.2,08,0
0,0,0,1,0.0,10.7,09,1
0,0,0,1,0.0,12.5,10,1
0,0,0,1,0.0,14.1,11,1
0,0,0,1,0.0,16.1,12,1
0,0,0,1,0.0,17.2,13,1
0,0,0,1,0.0,18.1,14,1
0,0,0,1,0.0,20.0,15,1
0,0,0,1,0.0,20.6,16,1
0,0,0,1,0.0,20.9,17,1
0,0,0,1,0.0,20.5,18,1
0,0,0,1,0.0,19.8,19,1
0,0,0,1,0.0,18.4,20,1
0,0,0,1,0.0,15.6,21,1
0,0,0,1,0.0,13.3,22,1
0,0,0,1,0.0,12.2,23,0
0,0,1,0,0.0,11.5,00,0
0,0,1,0,0.0,11.1,01,0
0,0,1,0,0.0,10.6,02,0
0,0,1,0,0.0,9.3,04,0
0,0,1,0,0.0,9.1,05,0
0,0,1,0,0.0,8.9,06,0
0,0,1,0,0.0,8.5,07,0
0,0,1,0,0.0,8.5,08,0
0,0,1,0,0.0,8.4,09,0
0,0,1,0,0.0,10.1,10,0
0,0,1,0,0.0,12.7,11,1
0,0,1,0,0.0,14.8,12,1
0,0,1,0,0.0,17.0,13,1
0,0,1,0,0.0,18.2,14,1
0,0,1,0,0.0,20.4,15,0
0,0,1,0,0.0,20.8,16,0
0,0,1,0,0.0,21.1,17,1
0,0,1,0,0.0,21.0,18,1
