DATA,DATA_HORA_COMPARADOR,TEMPERATURA,PRECIPITACAO
2022-05-11 10:00:00,2022-05-11T10:00:00,12.2,0.0
2022-05-11 11:00:00,2022-05-11T11:00:00,15.1,0.0
2022-05-11 12:00:00,2022-05-11T12:00:00,17.1,0.0
2022-05-11 13:00:00,2022-05-11T13:00:00,18.6,0.0
2022-05-11 14:00:00,2022-05-11T14:00:00,20.0,0.0
2022-05-11 15:00:00,2022-05-11T15:00:00,22.3,0.0
2022-05-11 16:00:00,2022-05-11T16:00:00,23.0,0.0
2022-05-11 17:00:00,2022-05-11T17:00:00,23.3,0.0
2022-05-11 18:00:00,2022-05-11T18:00:00,23.3,0.0
2022-05-11 19:00:00,2022-05-11T19:00:00,22.8,0.0
2022-05-11 20:00:00,2022-05-11T20:00:00,20.9,0.0
2022-05-11 21:00:00,2022-05-11T21:00:00,18.6,0.0
2022-05-11 22:00:00,2022-05-11T22:00:00,16.9,0.0
2022-05-11 23:00:00,2022-05-11T23:00:00,16.7,0.0
2022-05-12 00:00:00,2022-05-12T00:00:00,15.8,0.0
2022-05-12 01:00:00,2022-05-12T01:00:00,15.4,0.0
2022-05-12 02:00:00,2022-05-12T02:00:00,15.5,0.0
2022-05-12 03:00:00,2022-05-12T03:00:00,14.4,0.0
2022-05-12 04:00:00,2022-05-12T04:00:00,14.4,0.0
2022-05-12 05:00:00,2022-05-12T05:00:00,14.3,0.0
2022-05-12 06:00:00,2022-05-12T06:00:00,14.1,0.0
2022-05-12 07:00:00,2022-05-12T07:00:00,14.7,0.0
2022-05-12 08:00:00,2022-05-12T08:00:00,14.9,0.0
2022-05-12 09:00:00,2022-05-12T09:00:00,15.0,0.0
2022-05-12 10:00:00,2022-05-12T10:00:00,16.1,0.0
2022-05-12 11:00:00,2022-05-12T11:00:00,17.5,0.0
2022-05-12 12:00:00,2022-05-12T12:00:00,18.8,0.0
2022-05-12 13:00:00,2022-05-12T13:00:00,19.6,0.1
2022-05-12 14:00:00,2022-05-12T14:00:00,20.8,0.1
